"Transaction Date","Transaction ID","Transaction Status","Transaction Type","From","To","Plant Community Type","Sub Region","Offset Trading Group","Vegetation Formation","Scientific Name","Common Name","Number Of Credits","Price Per Credit (Ex-GST)","Philanthropic Reason For Transfer Disclosed","Retirement Reason","Other Reason for Retiring","Reference Number of Obligation","Address of Obligation","Local Government Area of Obligation","Date of Consent Approval"
"2023-03-20","00039168","Completed","Retire","CR-20988","CR-21002","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","5","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA 8/2022/849/1","3 Merewether Close, North Rothbury 2335","Cessnock City Council","2023-02-23"
"2023-03-20","00039176","Completed","Retire","CR-20569","CR-21007","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","119","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","Part 4 development","DA/2019/574","547 Raymond Terrance Road, Chisholm","Maitland","2019-11-26"
"2023-03-23","00039259","Completed","Retire","CR-19105","CR-21168","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Hill End","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","96","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","MP 10_0157","Bodangora Wind Farm – Gillinghall Road, Bodangora NSW 2080","Dubbo Regional Council","2013-08-30"
"2023-03-23","00039263","Completed","Retire","CR-20432","CR-21169","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","8","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","SSD-6693-MOD 1","Rye Park Wind Farm, located approximately 4km east of Rye Park and 10km north-east of Yass within the Hilltops Council, Upper Lachlan Shire Council and Yass Valley Councl LGAs","Hilltops, Upper Lachlan Shire, Yass Valley","2021-04-15"
"2023-03-23","00039269","Completed","Retire","CR-20432","CR-21170","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","2","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","PA11_0060 Modification 6 Stage 1","Northparkes Mine Step Change Project (Mod 6 - Stage 1) – approximately 27km north-west of Parkes, NSW","Parkes Shire Council","2022-06-06"
"2023-03-23","00039271","Completed","Retire","CR-20432","CR-21171","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","165","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","PA 06_0074","Marulan South (Peppertree Quarry) Hard Rock Quarry, 10km south-east of Marulan, 31Km east of Goulburn and 175km south-west of Sydney","Goulburn Mulwaree Council","2021-09-27"
"2023-03-23","00039274","Completed","Retire","CR-20432","CR-21172","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","14","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","DA2018/0033","Parkes Logistics Terminal, Brolgan Road, Parkes 2870, Innisvale Brolgan Road Parkes NSW 2870","Parkes Shire Council","2018-07-11"
"2023-03-23","00039276","Completed","Retire","CR-20432","CR-21176","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","15","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","DA 69-2019","50 Alanbar Street, Karabar NSW 2620","Queanbeyan-Palerang Regional Council","2019-09-20"
"2023-03-23","00039279","Completed","Retire","CR-20432","CR-21177","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","15","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","DA19/0624","Estella Primary School, 56 Estella Rd CHARLES STURT UNIVERSITY NSW 2678","Wagga Wagga City Council","2020-01-31"
"2023-03-23","00039281","Completed","Retire","CR-20432","CR-21178","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","2","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","10.2012.32005.6","Ettamogah Rise Estate, Fenchurch Dr, Springdale Heights NSW 2641, Wagga Rd, Ettamogah NSW 2460, Wagga Rd, Springdale Heights NSW 2641","Albury City Council","2020-12-17"
"2023-03-23","00039283","Completed","Retire","CR-20432","CR-21180","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","65","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","","DA 109-2019","28 Lonergan Drive, Greenleigh NSW 2620","Queanbeyan-Palerang Regional Council","2022-01-04"
"2023-03-28","00039331","Completed","Transfer","CR-5775","CR-21243","Tallowwood - Brush Box - Sydney Blue Gum moist shrubby forest of the southern NSW North Coast Bioregion","Karuah Manning","North Coast Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Shrubby sub-formation)","","","45","4000","No","","","","","",""
"2023-03-28","00039331","Completed","Transfer","CR-5780","CR-21244","","Karuah Manning","","","Callistemon linearifolius","Netted Bottle Brush","10","145","No","","","","","",""
"2023-03-28","00039349","Completed","Transfer","CR-6211","CR-21258","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","5","4000","No","","","","","",""
"2023-03-29","00039377","Completed","Transfer","CR-1405","CR-21324","","Inland Slopes","","","Petaurus norfolcensis","Squirrel Glider","310","500","No","","","","","",""
"2023-03-29","00039374","Completed","Transfer","CR-5549","CR-21327","Grey Myrtle - Lilly Pilly dry rainforest in dry gullies of the Sydney Basin Bioregion and South East Corner Bioregion","Cumberland","Dry Rainforests <50%","Rainforests","","","5","9000","No","","","","","",""
"2023-03-29","00039374","Completed","Transfer","CR-5550","CR-21328","Turpentine - Smooth-barked Apple moist shrubby forest of the lower Blue Mountains, Sydney Basin Bioregion","Cumberland","North Coast Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Shrubby sub-formation)","","","2","3000","No","","","","","",""
"2023-03-29","00039374","Completed","Transfer","CR-5552","CR-21329","","Cumberland","","","Chalinolobus dwyeri","Large-eared Pied Bat","120","900","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18790","CR-21335","Pilliga Box - White Cypress Pine - Buloke shrubby woodland in the Brigalow Belt South Bioregion","Northern Basalts","Pilliga Outwash Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","1438","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18786","CR-21331","Weeping Myall open woodland of the Darling Riverine Plains Bioregion and Brigalow Belt South Bioregion","Northern Basalts","Riverine Plain Woodlands >=70% and <90%","Semi-arid Woodlands (Grassy sub-formation)","","","24","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18787","CR-21332","River Red Gum tall to very tall open forest / woodland wetland on rivers on floodplains mainly in the Darling Riverine Plains Bioregion","Northern Basalts","Inland Riverine Forests >=50% and <70%","Forested Wetlands","","","37","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18788","CR-21333","Poplar Box - Belah woodland on clay-loam soils on alluvial plains of north-central NSW","Northern Basalts","Floodplain Transition Woodlands >=70% and <90%","Grassy Woodlands","","","6","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18789","CR-21334","River Red Gum riparian tall woodland / open forest wetland in the Nandewar Bioregion and Brigalow Belt South Bioregion","Northern Basalts","Inland Riverine Forests >=50% and <70%","Forested Wetlands","","","120","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18791","CR-21336","Pilliga Box - White Cypress Pine - Buloke shrubby woodland in the Brigalow Belt South Bioregion","Northern Basalts","Pilliga Outwash Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","108","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18792","CR-21337","Silver-leaved Ironbark - White Cypress Pine - box dry shrub grass woodland of the Pilliga Scrub - Warialda region, Brigalow Belt South Bioregion","Northern Basalts","North-west Slopes Dry Sclerophyll Woodlands <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","64","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18793","CR-21338","White Box - cypress pine - Silver-leaved Ironbark shrub grass open forest / woodland of the northern Brigalow Belt South Bioregion and Nandewar Bioregion","Northern Basalts","North-west Slopes Dry Sclerophyll Woodlands >=50% and <70%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","9","2033.1","No","","","","","",""
"2023-03-30","00039396","Completed","Transfer","CR-18794","CR-21339","","Northern Basalts","","","Phascolarctos cinereus","Koala","1797","246.55","No","","","","","",""
