"Transaction Date","Transaction ID","Transaction Status","Transaction Type","From","To","Plant Community Type","Sub Region","Offset Trading Group","Vegetation Formation","Scientific Name","Common Name","Number Of Credits","Price Per Credit (Ex-GST)","Philanthropic Reason For Transfer Disclosed","Retirement Reason","Other Reason for Retiring","Reference Number of Obligation","Address of Obligation","Local Government Area of Obligation","Date of Consent Approval"
"2024-07-22","00049909","Completed","Retire","CR-28419","CR-37832","Coastal sandstone riparian forest","Yengo","Sydney Coastal Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","24","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28420","CR-37833","Sydney Turpentine - Ironbark forest","Yengo","Sydney Turpentine-Ironbark Forest in the Sydney Basin Bioregion","Wet Sclerophyll Forests (Grassy sub-formation)","","","47","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28421","CR-37834","Red Bloodwood - scribbly gum heathy woodland on sandstone plateaux of the Sydney Basin Bioregion","Yengo","Sydney Coastal Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","16","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28422","CR-37835","Hornsby enriched sandstone exposed woodland","Yengo","Sydney Coastal Dry Sclerophyll Forests >=70% and <90%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","8","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28423","CR-37836","Smooth-barked Apple - Red Bloodwood - Sydney Peppermint heathy open forest on slopes of dry sandstone gullies of western and southern Sydney, Sydney Basin Bioregion","Yengo","Sydney Coastal Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","55","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28424","CR-37837","","Yengo","","","Acacia bynoeana","Bynoe's Wattle","3","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28425","CR-37838","","Yengo","","","Chalinolobus dwyeri","Large-eared Pied Bat","215","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28426","CR-37839","","Yengo","","","Pimelea curviflora var. curviflora","Pimelea curviflora var. curviflora","41","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28427","CR-37840","","Yengo","","","Pommerhelix duralensis","Dural Land Snail","101","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28428","CR-37841","","Yengo","","","Pseudophryne australis","Red-crowned Toadlet","32","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049909","Completed","Retire","CR-28429","CR-37842","","Yengo","","","Tetratheca glandulosa","Tetratheca glandulosa","81","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","2136/2018/JP/B","4567 Old Northern Road, Maroota NSW 2756","The Hills Shire Council","2019-12-12"
"2024-07-22","00049537","Completed","Transfer","CR-27204","CR-37856","Coastal Floodplain Swamp Paperbark Scrub","Karuah Manning","Swamp Oak Floodplain Forest of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Forested Wetlands","","","20","16900","No","","","","","",""
"2024-07-24","00049189","Completed","Retire","CR-22539","CR-37960","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","147","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2022/193","464 Cessnock Road, Gillieston Heights NSW 2321","Maitland City Council","2023-06-13"
"2024-07-24","00049189","Completed","Retire","CR-22540","CR-37961","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Hunter-Macleay Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","107","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2022/193","464 Cessnock Road, Gillieston Heights NSW 2321","Maitland City Council","2023-06-13"
"2024-07-24","00049189","Completed","Retire","CR-28018","CR-37959","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Hunter-Macleay Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","29","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2022/193","464 Cessnock Road, Gillieston Heights NSW 2321","Maitland City Council","2023-06-13"
"2024-07-24","00049932","Completed","Retire","CR-34662","CR-37962","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","128","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2022/193","464 Cessnock Road, Gillieston Heights","Maitland City Council","2023-06-13"
"2024-07-24","00049490","Completed","Transfer","CR-5551","CR-37963","Cumberland shale - sandstone Ironbark forest","Cumberland","Shale Sandstone Transition Forest in the Sydney Basin Bioregion","Grassy Woodlands","","","2","18000","No","","","","","",""
"2024-07-25","00049807","Completed","Transfer","CR-22325","CR-37990","Red Stringybark - Brittle Gum - Inland Scribbly Gum dry open forest of the tablelands, South Eastern Highlands Bioregion","Monaro","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","12","3200","No","","","","","",""
"2024-08-01","00050156","Completed","Transfer","CR-36468","CR-38181","","Northern Outwash","","","Swainsona murrayana","Slender Darling Pea","1285","748","No","","","","","",""
"2024-08-01","00050208","Completed","Transfer","CR-29659","CR-38183","Narrow-leaved Ironbark - Native Olive shrubby open forest of the central and upper Hunter","Hunter","Central Hunter Grey Box—Ironbark Woodland in the New South Wales North Coast and Sydney Basin Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","27","4000","No","","","","","",""
"2024-08-01","00050208","Completed","Transfer","CR-29662","CR-38184","Narrow-leaved Ironbark - Grey Box grassy woodland of the central and upper Hunter","Hunter","Central Hunter Grey Box—Ironbark Woodland in the New South Wales North Coast and Sydney Basin Bioregions","Grassy Woodlands","","","59","4000","No","","","","","",""
"2024-08-01","00050208","Completed","Transfer","CR-29658","CR-38182","Narrow-leaved Ironbark - Native Olive shrubby open forest of the central and upper Hunter","Hunter","Central Hunter Grey Box—Ironbark Woodland in the New South Wales North Coast and Sydney Basin Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","340","4000","No","","","","","",""
"2024-08-02","00050258","Completed","Transfer","CR-2105","CR-38297","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Upper Hunter","Northern Hinterland Wet Sclerophyll Forests - < 50% cleared group","Wet Sclerophyll Forests (Grassy sub-formation)","","","29","2000","No","","","","","",""
"2024-08-05","00050190","Completed","Transfer","CR-27203","CR-38326","Northern Lower Floodplain Eleocharis Wetland","Karuah Manning","Freshwater Wetlands on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Freshwater Wetlands","","","4","17500","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35392","CR-38560","","Pilliga","","","Petaurus norfolcensis","Squirrel Glider","950","425","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35391","CR-38559","","Pilliga","","","Cercartetus nanus","Eastern Pygmy-possum","950","700","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35390","CR-38558","Narrow-leaved Ironbark - White Bloodwood - Red Stringybark woodland of the Garawilla - Liverpool Plains region, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","120","1308","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35389","CR-38557","White Bloodwood - Red Ironbark - Black Cypress Pine shrubby sandstone woodland of the Pilliga Scrub and surrounding regions","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","640","1308","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35387","CR-38555","Red gum - Rough-barked Apple +/- tea tree sandy creek woodland (wetland) in the Pilliga - Goonoo sandstone forests, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","62","1308","No","","","","","",""
"2024-08-09","00050363","Completed","Transfer","CR-35388","CR-38556","Rough-barked Apple - Blakely's Red Gum - Black Cypress Pine woodland on sandy flats, mainly in the Pilliga Scrub region","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","124","1308","No","","","","","",""
"2024-08-09","00050398","Completed","Transfer","CR-35390","CR-38561","Narrow-leaved Ironbark - White Bloodwood - Red Stringybark woodland of the Garawilla - Liverpool Plains region, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","4","1308","No","","","","","",""
"2024-08-14","00050334","Completed","Retire","CR-38326","CR-38692","Northern Lower Floodplain Eleocharis Wetland","Karuah Manning","Freshwater Wetlands on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Freshwater Wetlands","","","4","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2022/193","464 Cessnock Road Gillieston Heights","Maitland City Council","2023-06-13"
"2024-08-14","00050349","Completed","Retire","CR-35545","CR-38693","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","14","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD-6695","500 Graywood Siding Rd, Woodhouselee, NSW 2580","Upper Lachlan Shire Council","2019-10-25"
"2024-08-15","00050432","Completed","Retire","CR-20792","CR-38702","Mugga Ironbark - mixed box woodland on hills in the Cowra - Boorowa - Young region of the NSW South Western Slopes Bioregion","Hill End","Upper Riverina Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","45","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD-6084","391 Jenolan Caves Road, Hartley NSW 2790","City of Lithgow","2015-07-15"
"2024-08-15","00050433","Completed","Retire","CR-20793","CR-38703","Inland Scribbly Gum - Black Cypress Pine - Mugga Ironbark - Daphne Heath low woodland of the Wagga Wagga region in the southern NSW South Western Slopes Bioregion","Capertee Valley","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","90","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD-6084","391 Jenolan Caves Road, Hartley NSW 2790","City of Lithgow","2015-07-15"
"2024-08-15","00050438","Completed","Retire","CR-20794","CR-38704","Grey Gum - Rough-barked Apple alluvial flat woodland in the upper Hunter Valley, mainly Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","505","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD-6084","391 Jenolan Caves Road, Hartley NSW 2790","City of Lithgow","2015-07-15"
"2024-08-15","00050166","Completed","Retire","CR-37990","CR-38707","Red Stringybark - Brittle Gum - Inland Scribbly Gum dry open forest of the tablelands, South Eastern Highlands Bioregion","Monaro","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","12","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-16","00050194","Completed","Retire","CR-34352","CR-38761","","Murrumbateman","","","Synemon plana","Golden Sun Moth","68","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton, NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-16","00050198","Completed","Retire","CR-26347","CR-38763","Yellow Box - Blakely's Red Gum grassy woodland on the tablelands, South Eastern Highlands Bioregion","Murrumbateman","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Grassy Woodlands","","","6","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton, NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-16","00050198","Completed","Retire","CR-26345","CR-38762","Red Stringybark - Brittle Gum - Inland Scribbly Gum dry open forest of the tablelands, South Eastern Highlands Bioregion","Murrumbateman","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","11","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton, NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-16","00050198","Completed","Retire","CR-26348","CR-38764","","Murrumbateman","","","Polytelis swainsonii","Superb Parrot","16","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton, NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-16","00050198","Completed","Retire","CR-26349","CR-38765","","Murrumbateman","","","Synemon plana","Golden Sun Moth","62","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","Order modifying Biodiversity Certification - Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Order Modifying BioCert - Woodbury Ridge Estate","2090 Sutton Road, Sutton, NSW 2620","Yass Valley Council","2024-04-12"
"2024-08-21","00050207","Completed","Retire","CR-34356","CR-38992","","Murrumbateman","","","Synemon plana","Golden Sun Moth","87","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-21","00050207","Completed","Retire","CR-34354","CR-38991","Yellow Box - Blakely's Red Gum grassy woodland on the tablelands, South Eastern Highlands Bioregion","Murrumbateman","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Grassy Woodlands","","","70","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-21","00050658","Completed","Transfer","CR-37405","CR-38993","Spotted Gum - Broad-leaved Mahogany - Grey Gum grass - shrub open forest on Coastal Lowlands of the Central Coast","Karuah Manning","Hunter-Macleay Dry Sclerophyll Forests >=70% and <90%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","19","4854","No","","","","","",""
"2024-08-22","00050212","Completed","Retire","CR-26741","CR-39015","","Murrumbateman","","","Synemon plana","Golden Sun Moth","139","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-22","00050212","Completed","Retire","CR-26740","CR-39014","","Murrumbateman","","","Swainsona sericea","Silky Swainson-pea","11","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-22","00050212","Completed","Retire","CR-26739","CR-39013","","Murrumbateman","","","Polytelis swainsonii","Superb Parrot","11","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-22","00050212","Completed","Retire","CR-26738","CR-39012","Yellow Box - Blakely's Red Gum grassy woodland on the tablelands, South Eastern Highlands Bioregion","Murrumbateman","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Grassy Woodlands","","","26","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-22","00050212","Completed","Retire","CR-26736","CR-39011","Red Stringybark - Brittle Gum - Inland Scribbly Gum dry open forest of the tablelands, South Eastern Highlands Bioregion","Murrumbateman","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","9","0","","For the purposes of complying with a requirement to retire credits of a biodiversity certification of land","","Order modifying Bio Cert - Woodbury Ridge","2090 Sutton Road, Sutton, NSW 2620

Reference of obligation - Order modifying Biodiversity Certification – Woodbury Ridge Estate dated 12 April 2024 under section 8.22 of the Biodiversity Conservation Act 2016","Yass Valley Council","2024-04-12"
"2024-08-22","00050605","Completed","Transfer","CR-32435","CR-39018","Brittle Gum - Broad-leaved Peppermint - Red Stringybark open forest in the north-western part (Yass to Orange) of the South Eastern Highlands Bioregion","Murrumbateman","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","34","444.05","No","","","","","",""
"2024-08-22","00050605","Completed","Transfer","CR-32437","CR-39020","Red Stringybark - Blakely's Red Gum hillslope open forest on meta-sediments in the Yass - Boorowa - Crookwell region of the NSW South Western Slopes Bioregion and South Eastern Highlands Bioregion","Murrumbateman","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Dry Sclerophyll Forests (Shrubby sub-formation)","","","1","444.05","No","","","","","",""
"2024-08-22","00050605","Completed","Transfer","CR-32436","CR-39019","Red Stringybark - Blakely's Red Gum hillslope open forest on meta-sediments in the Yass - Boorowa - Crookwell region of the NSW South Western Slopes Bioregion and South Eastern Highlands Bioregion","Murrumbateman","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Dry Sclerophyll Forests (Shrubby sub-formation)","","","55","444.05","No","","","","","",""
"2024-08-22","00050605","Completed","Transfer","CR-32433","CR-39016","Argyle Apple - Acacia mearnsii valley open forest of the Yass - Rye Park region of the South Eastern Highlands Bioregion and adjoining NSW South Western Slopes Bioregion","Murrumbateman","Southern Tableland Dry Sclerophyll Forests >=70% and <90%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","11","444.05","No","","","","","",""
"2024-08-22","00050605","Completed","Transfer","CR-32434","CR-39017","Brittle Gum - Broad-leaved Peppermint - Red Stringybark open forest in the north-western part (Yass to Orange) of the South Eastern Highlands Bioregion","Murrumbateman","Southern Tableland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","462","444.05","No","","","","","",""
"2024-08-22","00050560","Completed","Transfer","CR-12887","CR-39021","Cumberland shale hills woodland","Cumberland","Cumberland Plain Woodland in the Sydney Basin Bioregion","Grassy Woodlands","","","2","41000","No","","","","","",""
"2024-08-22","00050708","Completed","Retire","CR-35347","CR-39022","Cumberland shale hills woodland","Cumberland","Cumberland Plain Woodland in the Sydney Basin Bioregion","Grassy Woodlands","","","7","0","","Other (please specify)","To contribute towards area-based offsets targets for the Cumberland Plain Conservation Plan","","Western Sydney - Cumberland Plan Conservation Plan Area","Wollondilly, Camden, Campbelltown, Liverpool, Fairfield, Penrith, Blacktown and Hawkesbury",""
"2024-08-30","00050874","Completed","Retire","CR-36577","CR-39243","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely?s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Grassy Woodlands","","","32","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD/9550","Western part of Lindner Road, leading to Ortlipp Road. Lot 3 DP 411022, Lot 3 DP1190444, Lot 27 DP 753342, Lot 101 DP 791421, Lot 1004 DP 1033823, Lot 1 DP 588720","Greater Hume Shire","2023-12-15"
"2024-08-30","00050934","Completed","Transfer","CR-4306","CR-39245","","Wyong","","","Callistemon linearifolius","Netted Bottle Brush","1","110","No","","","","","",""
"2024-08-30","00050934","Completed","Transfer","CR-4304","CR-39244","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Wyong","Northern Hinterland Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Grassy sub-formation)","","","4","2400","No","","","","","",""
"2024-08-30","00050579","Completed","Retire","CR-36738","CR-39246","Cumberland shale hills woodland","Cumberland","Cumberland Plain Woodland in the Sydney Basin Bioregion","Grassy Woodlands","","","2","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/2023/1104/1","Lot 44/DP285800 - 8 Attunga Close, PICTON NSW 2571","Wollondilly Shire Council","2024-04-10"
"2024-08-30","00050747","Completed","Retire","CR-38993","CR-39247","Spotted Gum - Broad-leaved Mahogany - Grey Gum grass - shrub open forest on Coastal Lowlands of the Central Coast","Karuah Manning","Hunter-Macleay Dry Sclerophyll Forests >=70% and <90%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","19","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA 8/2021/21261/1","427 Pokolbin Mountains Road, Pokolbin NSW 2320","Cessnock City Council","2022-09-21"
"2024-08-30","00050879","Completed","Retire","CR-20924","CR-39249","Narrow-leaved Ironbark- Black Cypress Pine - stringybark +/- Grey Gum +/- Narrow-leaved Wattle shrubby open forest on sandstone hills in the southern Brigalow Belt South Bioregion and Sydney Basin Bioregion","Kerrabee","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","43","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","08_0184","4505 Ulan Road, Ulan NSW 2850","Mid-Western Regional LGA","2011-11-24"
"2024-08-30","00050879","Completed","Retire","CR-20925","CR-39250","Rough-barked Apple - Blakely's Red Gum - Narrow-leaved Stringybark +/- Grey Gum sandstone riparian grass fern open forest on in the southern Brigalow Belt South Bioregion and Upper Hunter region","Kerrabee","North Coast Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","24","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","08_0184","4505 Ulan Road, Ulan NSW 2850","Mid-Western Regional LGA","2011-11-24"
"2024-08-30","00050879","Completed","Retire","CR-20923","CR-39248","Red Ironbark - Black Cypress Pine - stringybark +/- Narrow-leaved Wattle shrubby open forest on sandstone in the Gulgong - Mendooran region, southern Brigalow Belt South Bioregion","Kerrabee","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","77","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","08_0184","4505 Ulan Road, Ulan NSW 2850","Mid-Western Regional LGA","2011-11-24"
"2024-09-04","00051006","Completed","Transfer","CR-5552","CR-39690","","Cumberland","","","Chalinolobus dwyeri","Large-eared Pied Bat","89","900","No","","","","","",""
"2024-09-05","00051137","Completed","Transfer","CR-37114","CR-39710","Brigalow - Belah open forest / woodland on alluvial often gilgaied clay from Pilliga Scrub to Goondiwindi, Brigalow Belt South Bioregion","Pilliga Outwash","PCT's 35, 44556, 101, 24487","Semi-arid Woodlands (Grassy sub-formation)","","","170","1723.62","No","","","","","",""
